Date,Total_Portfolio_Value,Uninvested_Capital,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-03-01,50000.0,-5.0,6820.0,500.0,15000.0,500.0,500.0,1430.0,10780.0,10060.0,3915.0,500.0
2024-03-02,50142.63918509946,-5.0,6832.25,499.33,15086.87,486.18,505.35,1446.71,10586.22,10297.56,3915.0,492.18
2024-03-03,50142.63918509946,-5.0,6832.25,499.33,15086.87,486.18,505.35,1446.71,10586.22,10297.56,3915.0,492.18
2024-03-04,50142.63918509946,-5.0,6832.25,499.33,15086.87,486.18,505.35,1446.71,10586.22,10297.56,3915.0,492.18
2024-03-05,50820.238654538545,-5.0,6898.81,498.58,14858.78,483.7,503.62,1455.73,10540.83,11186.92,3915.0,483.27
2024-03-06,50517.11797366053,-5.0,6910.89,498.23,14812.22,479.07,501.89,1460.79,10373.09,11088.22,3915.0,482.71
2024-03-07,50386.18088062967,-5.0,6844.97,503.27,15014.78,489.94,500.43,1456.62,10141.01,11036.15,3915.0,489.02
2024-03-08,51005.19009600285,-5.0,6873.42,508.99,14969.33,493.69,498.57,1449.48,10422.3,11390.72,3915.0,488.68
2024-03-09,50959.60937685431,-5.0,6939.87,516.86,14783.09,501.93,497.5,1435.65,10526.73,11346.4,3915.0,501.58
2024-03-10,50959.60937685431,-5.0,6939.87,516.86,14783.09,501.93,497.5,1435.65,10526.73,11346.4,3915.0,501.58
2024-03-11,50959.60937685431,-5.0,6939.87,516.86,14783.09,501.93,497.5,1435.65,10526.73,11346.4,3915.0,501.58
2024-03-12,50308.50435569705,-5.0,6870.65,494.71,14883.27,504.96,500.1,1442.08,10150.02,11050.92,3915.0,501.79
2024-03-13,50386.11091283318,-5.0,6847.74,497.27,15072.16,509.66,505.42,1433.66,10206.62,10903.18,3915.0,500.4
2024-03-14,49895.634795931466,-5.0,6805.27,498.91,15089.81,521.73,500.66,1441.51,10371.92,10415.64,3753.76,501.43
2024-03-15,50203.74903847417,-5.0,6887.69,502.71,15312.68,514.73,498.85,1445.98,10378.23,10386.09,3778.48,503.29
2024-03-16,50714.94852148153,-5.0,6886.51,495.3,15530.25,538.43,495.19,1452.56,10341.72,10459.96,4014.79,505.23
2024-03-17,50714.94852148153,-5.0,6886.51,495.3,15530.25,538.43,495.19,1452.56,10341.72,10459.96,4014.79,505.23
2024-03-18,50714.94852148153,-5.0,6886.51,495.3,15530.25,538.43,495.19,1452.56,10341.72,10459.96,4014.79,505.23
2024-03-19,50415.62587433469,-5.0,6858.48,493.52,15618.52,536.06,500.72,1443.67,10286.6,10223.58,3957.5,501.97
2024-03-20,51014.86171789333,-5.0,6814.62,484.72,15562.55,542.29,510.78,1441.43,10230.56,10873.64,4057.76,501.51
2024-03-21,50815.4384714789,-5.0,6814.62,484.51,15388.47,538.14,500.03,1437.5,10170.39,10991.83,3992.15,502.8
2024-03-22,50600.015241996065,-5.0,6800.85,487.48,15526.44,549.69,504.24,1489.84,10011.67,10784.99,3946.19,503.63
2024-03-23,50848.67343476261,-5.0,6784.88,484.21,15573.47,547.14,501.91,1488.1,9973.81,11006.6,3987.77,505.78
2024-03-24,50848.67343476261,-5.0,6784.88,484.21,15573.47,547.14,501.91,1488.1,9973.81,11006.6,3987.77,505.78
2024-03-25,50848.67343476261,-5.0,6784.88,484.21,15573.47,547.14,501.91,1488.1,9973.81,11006.6,3987.77,505.78
2024-03-26,50755.65829307365,-5.0,6811.5,489.23,15563.86,549.33,503.45,1497.47,10101.95,10637.25,4104.19,502.44
2024-03-27,50955.02220797959,-5.0,6782.27,483.53,15386.57,550.06,514.69,1485.09,10228.06,10873.64,4154.09,502.03
2024-03-28,50826.01308634223,-5.0,6771.9,482.22,15461.68,550.28,513.19,1482.72,10222.05,10784.99,4060.76,501.22
2024-03-29,50607.172363922116,-5.0,6760.83,486.64,15348.18,566.9,515.77,1494.05,10221.65,10666.8,4047.59,503.75
2024-03-30,50607.172363922116,-5.0,6760.83,486.64,15348.18,566.9,515.77,1494.05,10221.65,10666.8,4047.59,503.75
2024-03-31,50607.172363922116,-5.0,6760.83,486.64,15348.18,566.9,515.77,1494.05,10221.65,10666.8,4047.59,503.75
2024-04-01,50607.172363922116,-5.0,6760.83,486.64,15348.18,566.9,515.77,1494.05,10221.65,10666.8,4047.59,503.75
2024-04-01,50607.172363922116,0.0,506.07,506.07,15182.15,15182.15,10698.36,506.07,6508.08,506.07,506.07,506.07
2024-04-02,50430.59122964798,0.0,506.46,502.17,15159.46,15091.34,10611.43,510.53,6540.89,504.67,481.26,522.38
2024-04-03,50394.75868982431,0.0,504.05,506.39,14936.75,15126.49,10711.03,512.28,6558.73,528.5,486.32,524.2
2024-04-04,50283.48740586183,0.0,507.38,508.64,14698.27,15345.48,10510.53,515.89,6671.49,512.38,494.2,519.23
2024-04-05,49936.49977543877,0.0,500.24,508.22,14512.84,15246.04,10557.61,516.56,6589.83,509.25,476.27,519.64
2024-04-06,50085.556961739836,0.0,500.07,503.84,14289.77,15480.98,10621.52,513.22,6622.59,534.03,499.6,519.94
2024-04-07,50085.556961739836,0.0,500.07,503.84,14289.77,15480.98,10621.52,513.22,6622.59,534.03,499.6,519.94
2024-04-08,50085.556961739836,0.0,500.07,503.84,14289.77,15480.98,10621.52,513.22,6622.59,534.03,499.6,519.94
2024-04-09,50374.07680951519,0.0,499.43,494.29,14319.9,15655.94,10625.91,510.39,6690.2,542.98,510.87,524.18
2024-04-10,49963.069576436545,0.0,499.05,499.21,14316.63,15609.95,10368.49,516.09,6624.16,520.27,496.08,513.15
2024-04-11,50055.89613817506,0.0,494.89,501.03,14318.36,15936.86,10283.63,507.61,6488.04,517.53,504.28,503.66
2024-04-12,50151.7442937375,0.0,498.71,506.63,14442.16,16021.51,10076.91,507.61,6575.04,528.37,494.03,500.78
2024-04-13,50261.269494102606,0.0,502.07,509.23,14476.25,16169.29,9932.72,504.6,6656.49,536.1,466.39,508.12
2024-04-14,50261.269494102606,0.0,502.07,509.23,14476.25,16169.29,9932.72,504.6,6656.49,536.1,466.39,508.12
2024-04-15,50261.269494102606,0.0,502.07,509.23,14476.25,16169.29,9932.72,504.6,6656.49,536.1,466.39,508.12
2024-04-16,50391.814078273695,0.0,502.48,517.52,14557.08,16193.36,9982.9,506.17,6601.77,542.12,453.77,534.64
2024-04-17,50843.8016269017,0.0,505.28,518.03,14588.73,16305.58,10160.24,502.29,6729.4,539.11,448.97,546.15
2024-04-18,50868.469520212275,0.0,508.15,518.1,14596.68,16362.22,10140.12,507.06,6703.94,536.85,433.03,562.33
2024-04-19,51043.89446090281,0.0,495.14,516.85,14637.16,16160.85,10162.51,500.65,7039.29,535.35,424.71,571.4
2024-04-20,51844.793248313996,0.0,502.51,515.85,14576.66,16390.53,10498.32,498.85,7345.8,545.89,410.27,560.11
2024-04-21,51844.793248313996,0.0,502.51,515.85,14576.66,16390.53,10498.32,498.85,7345.8,545.89,410.27,560.11
2024-04-22,51844.793248313996,0.0,502.51,515.85,14576.66,16390.53,10498.32,498.85,7345.8,545.89,410.27,560.11
2024-04-23,52152.95688535924,0.0,509.06,511.91,14463.06,16598.19,10415.67,497.95,7614.16,570.74,417.87,554.35
2024-04-24,52017.17910444734,0.0,500.69,519.41,14457.69,16689.44,10392.09,501.23,7360.49,572.24,468.27,555.63
2024-04-25,52549.28357039996,0.0,492.42,527.25,14993.55,16361.17,10429.01,497.52,7633.47,571.49,491.52,551.89
2024-04-26,54764.87436424538,0.0,509.29,528.55,14875.63,18033.99,10615.72,498.48,8104.88,561.23,486.06,551.06
2024-04-27,54205.61912888357,0.0,513.09,518.91,14738.49,17425.69,10696.16,498.16,8106.91,593.18,560.46,554.57
2024-04-28,54205.61912888357,0.0,513.09,518.91,14738.49,17425.69,10696.16,498.16,8106.91,593.18,560.46,554.57
2024-04-29,54205.61912888357,0.0,513.09,518.91,14738.49,17425.69,10696.16,498.16,8106.91,593.18,560.46,554.57
2024-04-30,53896.99688846512,0.0,496.19,502.01,15070.22,17072.25,10594.36,488.63,7981.74,604.66,529.35,557.59
2024-05-01,53780.48125010416,0.0,507.53,496.68,15149.67,17185.52,10600.32,493.79,7671.25,598.52,519.85,557.36
2024-05-01,53780.48125010416,0.0,537.8,537.8,537.8,11390.71,16134.14,537.8,537.8,537.8,6894.66,16134.14
2024-05-02,54492.42946708703,0.0,554.99,526.58,534.29,11582.57,16346.52,531.75,555.78,535.11,6895.42,16429.43
2024-05-03,54795.1570928501,0.0,559.47,525.2,533.25,11625.67,16558.52,532.5,575.03,532.81,6940.62,16412.1
2024-05-04,54992.20858944687,0.0,566.95,527.31,529.06,11685.45,16455.75,529.03,596.73,548.12,7077.38,16476.42
2024-05-05,54992.20858944687,0.0,566.95,527.31,529.06,11685.45,16455.75,529.03,596.73,548.12,7077.38,16476.42
2024-05-06,54992.20858944687,0.0,566.95,527.31,529.06,11685.45,16455.75,529.03,596.73,548.12,7077.38,16476.42
2024-05-07,55143.1173417354,0.0,567.13,529.76,526.84,11904.42,16453.34,527.85,586.46,540.46,6811.15,16695.71
2024-05-08,55078.106913396194,0.0,564.85,524.38,527.22,11774.43,16570.12,528.38,585.54,539.7,6692.79,16770.7
2024-05-09,55451.78778109711,0.0,569.35,527.0,521.73,11814.75,16889.33,528.95,574.76,540.46,6587.45,16898.01
2024-05-10,55134.70492845174,0.0,563.28,519.03,519.52,11723.68,16904.73,536.03,582.08,531.28,6453.37,16801.69
2024-05-11,55350.40066123674,0.0,564.65,519.13,518.14,11757.74,16926.52,530.86,585.46,544.29,6584.38,16819.22
2024-05-12,55350.40066123674,0.0,564.65,519.13,518.14,11757.74,16926.52,530.86,585.46,544.29,6584.38,16819.22
2024-05-13,55350.40066123674,0.0,564.65,519.13,518.14,11757.74,16926.52,530.86,585.46,544.29,6584.38,16819.22
2024-05-14,55827.06948675553,0.0,563.89,515.79,517.05,11841.16,17109.76,530.66,591.66,571.85,6801.19,16784.05
2024-05-15,56103.99237282802,0.0,565.52,521.26,515.71,11992.01,17394.13,533.89,612.86,579.66,6664.82,16724.12
2024-05-16,56227.75363878756,0.0,569.11,512.68,522.52,12108.1,17423.5,533.6,611.1,585.74,6697.38,16664.02
2024-05-17,56529.730322926145,0.0,572.43,518.26,518.44,12238.79,17543.53,532.41,598.93,598.9,6797.74,16610.31
2024-05-18,56429.35100619809,0.0,568.83,515.95,513.78,12298.57,17364.24,533.6,613.83,591.5,6701.6,16727.46
2024-05-19,56429.35100619809,0.0,568.83,515.95,513.78,12298.57,17364.24,533.6,613.83,591.5,6701.6,16727.46
2024-05-20,56429.35100619809,0.0,568.83,515.95,513.78,12298.57,17364.24,533.6,613.83,591.5,6701.6,16727.46
2024-05-21,57114.071758438906,0.0,567.62,518.5,516.41,12363.22,17644.43,530.57,617.76,582.45,7147.86,16625.26
2024-05-22,56944.031878264475,0.0,567.56,516.4,518.68,12261.03,17796.98,531.49,614.93,577.51,6899.25,16660.19
2024-05-23,56720.451247093944,0.0,561.11,537.09,522.54,12064.31,17878.95,534.68,672.24,561.88,6655.25,16732.41
2024-05-24,57299.11824908632,0.0,560.18,533.52,523.88,12164.41,17997.2,533.66,689.53,558.21,6865.93,16872.6
2024-05-25,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-26,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-27,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-28,57373.134437272456,0.0,564.52,532.67,525.72,12262.42,17943.73,532.93,737.67,555.79,6770.55,16947.14
2024-05-29,57538.96256359956,0.0,564.12,537.96,532.18,12227.66,17840.71,533.89,734.67,552.57,6749.1,17266.11
2024-05-30,57108.99334056587,0.0,555.75,541.41,531.28,11964.2,17676.21,528.78,748.51,557.41,6848.69,17156.75
2024-05-31,57826.417778326395,0.0,546.83,533.95,531.85,11991.31,17923.16,524.31,751.45,556.6,6821.49,17645.47
2024-06-01,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-02,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-03,57819.79944356992,0.0,552.71,554.87,537.57,12037.89,17862.7,522.76,733.05,546.11,6752.93,17719.2
2024-06-03,57819.79944356992,-7.275957614183426e-12,578.2,7447.19,2041.04,578.2,14836.56,14281.49,16322.53,578.2,578.2,578.2
2024-06-04,57966.70690300921,-7.275957614183426e-12,581.44,7610.6,2052.81,580.27,14846.99,14332.93,16220.55,580.35,573.21,587.55
2024-06-05,57688.62985068505,-7.275957614183426e-12,587.73,7585.91,2046.95,585.68,15055.04,14269.39,15802.42,596.75,573.97,584.8
2024-06-06,57888.583127889615,-7.275957614183426e-12,599.79,7554.74,2050.56,590.08,14938.3,14481.19,15895.47,611.43,583.61,583.41
2024-06-07,57906.53551732586,-7.275957614183426e-12,597.52,7578.13,2048.53,582.51,14834.28,14606.76,15902.7,603.66,582.1,570.35
2024-06-08,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-09,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-10,57727.77574122739,-7.275957614183426e-12,606.47,7580.52,2046.45,585.01,14789.93,14523.55,15843.37,607.12,570.0,575.36
2024-06-11,57557.57743516735,-7.275957614183426e-12,607.02,7674.34,2053.63,590.39,14487.31,14503.88,15899.96,604.53,559.73,576.78
2024-06-12,57670.232889700346,-7.275957614183426e-12,605.92,7733.56,2049.19,594.31,14631.77,14672.43,15617.89,610.57,581.48,573.12
2024-06-13,57476.40118895185,-7.275957614183426e-12,610.88,7775.6,2056.61,585.51,14555.14,14750.75,15342.83,622.58,598.47,578.04
2024-06-14,57505.40164505417,-7.275957614183426e-12,611.16,7850.46,2072.2,590.96,14558.73,14813.0,15208.47,638.75,583.84,577.83
2024-06-15,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-16,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-17,57624.16248738221,-7.275957614183426e-12,610.5,7900.06,2069.21,592.47,14680.03,14686.95,15260.37,638.75,614.77,571.07
2024-06-18,57423.258165370884,-7.275957614183426e-12,612.57,7749.49,2060.47,585.28,14916.45,14703.98,14992.39,634.79,606.31,561.52
2024-06-19,57588.50061685663,-7.275957614183426e-12,607.06,7720.65,2047.94,589.32,14936.67,14643.08,15257.79,624.91,595.52,565.57
2024-06-20,57588.50061685663,-7.275957614183426e-12,607.06,7720.65,2047.94,589.32,14936.67,14643.08,15257.79,624.91,595.52,565.57
2024-06-21,57866.42875364075,-7.275957614183426e-12,602.2,7732.03,2051.97,600.46,15066.66,14521.28,15503.37,624.91,600.24,563.32
2024-06-22,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-23,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-24,58755.34508527878,-7.275957614183426e-12,607.79,7677.01,2045.24,599.09,15465.27,14522.03,16021.5,646.66,598.83,571.94
2024-06-25,57805.26824268238,-7.275957614183426e-12,606.52,7764.2,2053.35,615.16,15307.64,14160.36,15480.26,637.76,614.47,565.55
2024-06-26,57732.71482407933,-7.275957614183426e-12,594.69,7689.9,2055.45,614.66,15256.76,14212.2,15461.23,638.75,644.06,565.01
2024-06-27,57464.48455336141,-7.275957614183426e-12,588.18,7604.95,2053.16,619.78,14925.43,14202.39,15608.62,646.66,647.5,567.81
2024-06-28,59404.12347900689,-7.275957614183426e-12,595.02,7615.39,2035.7,608.88,15138.29,15876.86,15636.95,653.58,649.01,594.45
2024-06-29,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-06-30,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-07-01,59923.44541930156,-7.275957614183426e-12,588.94,7519.13,2011.13,611.69,15517.82,16184.41,15588.85,635.78,688.3,577.39
2024-07-01,59923.44541930156,-7.275957614183426e-12,11481.33,599.23,599.23,11774.96,8910.62,599.23,4332.47,599.23,6124.18,14902.96
2024-07-02,60725.283882126394,-7.275957614183426e-12,11399.82,601.3,600.44,11919.74,8891.94,593.07,4360.87,598.3,6748.67,15011.12
2024-07-03,60955.39764282859,-7.275957614183426e-12,11468.51,603.11,597.85,11957.06,8936.05,586.83,4261.16,595.08,7190.2,14759.55
2024-07-04,61036.231286923234,-7.275957614183426e-12,11398.56,604.81,593.76,12264.64,8875.51,588.32,4301.85,590.52,7115.35,14702.91
2024-07-05,61036.231286923234,-7.275957614183426e-12,11398.56,604.81,593.76,12264.64,8875.51,588.32,4301.85,590.52,7115.35,14702.91
2024-07-06,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-07,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-08,60932.51545972696,-7.275957614183426e-12,11418.8,603.16,593.12,12163.62,8876.85,597.82,4261.33,579.57,7095.26,14742.98
2024-07-09,60972.401642385776,-7.275957614183426e-12,11417.37,607.43,587.71,12160.4,9029.82,592.99,4208.48,578.2,6963.56,14826.43
2024-07-10,61229.86782692724,-7.275957614183426e-12,11404.48,606.62,585.54,12301.96,8972.51,593.65,4151.94,569.78,6951.22,15092.17
2024-07-11,61551.65010679169,-7.275957614183426e-12,11539.76,606.32,590.27,11940.97,8978.88,600.6,4267.51,587.13,7244.71,15195.51
2024-07-12,61609.32062776211,-7.275957614183426e-12,11556.33,608.97,598.22,11908.8,8972.79,600.85,4236.69,578.64,7136.5,15411.53
2024-07-13,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-14,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-15,62027.988001986545,-7.275957614183426e-12,11608.91,598.29,616.36,12002.75,9203.71,583.58,4249.8,564.25,7073.11,15527.22
2024-07-16,63115.05421041341,-7.275957614183426e-12,11626.99,621.47,642.76,11834.8,9405.46,595.86,4284.21,548.75,7018.23,16536.52
2024-07-17,62504.08980223749,-7.275957614183426e-12,11320.38,617.43,637.81,11648.19,9413.33,597.99,4426.11,545.59,7128.47,16168.8
2024-07-18,62231.03467999081,-7.275957614183426e-12,11068.59,625.27,639.39,11433.92,9566.67,592.34,4367.96,524.02,7118.0,16294.87
2024-07-19,62362.955752330505,-7.275957614183426e-12,11031.24,623.33,647.07,11431.98,9541.49,594.96,4424.96,526.12,7261.23,16280.58
2024-07-20,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-21,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-22,62448.42281349891,-7.275957614183426e-12,10996.3,624.67,645.53,11690.02,9583.0,612.63,4319.71,523.67,7074.39,16378.49
2024-07-23,62945.63131153226,-7.275957614183426e-12,11228.82,651.14,638.67,11697.74,9683.55,600.69,4336.32,527.53,7146.54,16434.65
2024-07-24,62346.491235576956,-7.275957614183426e-12,10892.69,628.75,623.58,11108.32,9576.32,581.78,4483.82,504.1,7587.28,16359.84
2024-07-25,62051.59359937852,-7.275957614183426e-12,10833.66,643.7,638.91,10764.06,9674.89,584.4,4522.48,516.17,7512.46,16360.86
2024-07-26,62208.07980402536,-7.275957614183426e-12,10993.29,652.57,650.38,10746.04,9818.92,579.75,4506.77,526.11,7520.14,16214.12
2024-07-27,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-28,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-29,62143.78979554077,-7.275957614183426e-12,11035.46,655.13,639.34,10908.84,9694.76,587.66,4536.07,520.43,7309.72,16256.38
2024-07-30,62534.200192666765,-7.275957614183426e-12,10945.7,652.62,634.12,10957.74,9949.57,593.81,4695.82,526.82,7459.0,16118.98
2024-07-31,63334.44336473582,-7.275957614183426e-12,11263.15,646.19,630.0,11038.18,9916.68,598.13,5297.45,522.61,7300.69,16121.36
2024-08-01,62869.787220453385,-7.275957614183426e-12,11087.86,668.08,643.8,10987.99,9743.1,590.06,4943.9,496.28,7539.94,16168.79
2024-08-01,62869.787220453385,0.0,628.7,628.7,666.42,628.7,18860.94,2477.07,628.7,18860.94,628.7,18860.94
2024-08-02,63843.95610714465,0.0,573.47,643.98,677.39,613.6,19442.67,2482.44,617.53,19570.82,642.02,18580.05
2024-08-03,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-04,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-05,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-06,63893.369906469736,0.0,553.08,653.48,671.59,582.79,19425.32,2431.79,600.14,19402.79,652.71,18919.69
2024-08-07,63699.02765330589,0.0,555.95,646.36,670.27,585.18,19540.58,2435.81,569.4,19070.86,667.15,18957.47
2024-08-08,65366.60151945027,0.0,566.3,668.65,691.58,596.56,20067.71,2488.47,604.29,20036.47,691.78,18954.8
2024-08-09,65695.53626911124,0.0,570.19,664.85,695.9,602.59,20253.2,2493.51,603.02,20036.47,695.82,19079.99
2024-08-10,64912.290185655525,0.0,569.71,649.88,698.21,597.51,20056.55,2503.57,627.6,19553.66,687.08,18968.5
